,order_id,quantity,order_date,unit_price,total_price,pizza_size,pizza_category,pizza_name,Day of the Week,Month of the Year
0,1,1,2015-01-01,13.25,13.25,M,Classic,The Hawaiian Pizza,Thursday,January
1,2,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
2,2,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
3,2,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
4,2,1,2015-01-01,16.0,16.0,M,Veggie,The Mexicana Pizza,Thursday,January
5,2,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
6,3,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
7,3,1,2015-01-01,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza,Thursday,January
8,4,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
9,5,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
10,6,1,2015-01-01,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza,Thursday,January
11,6,1,2015-01-01,12.0,12.0,S,Classic,The Greek Pizza,Thursday,January
12,7,1,2015-01-01,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Thursday,January
13,8,1,2015-01-01,12.5,12.5,S,Supreme,The Spinach Supreme Pizza,Thursday,January
14,9,1,2015-01-01,12.0,12.0,S,Classic,The Classic Deluxe Pizza,Thursday,January
15,9,1,2015-01-01,12.0,12.0,S,Veggie,The Green Garden Pizza,Thursday,January
16,9,1,2015-01-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Thursday,January
17,9,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
18,9,1,2015-01-01,12.5,12.5,S,Supreme,The Italian Supreme Pizza,Thursday,January
19,9,1,2015-01-01,12.0,12.0,S,Veggie,The Mexicana Pizza,Thursday,January
20,9,1,2015-01-01,20.75,20.75,L,Supreme,The Spicy Italian Pizza,Thursday,January
21,9,1,2015-01-01,20.75,20.75,L,Veggie,The Spinach Pesto Pizza,Thursday,January
22,9,1,2015-01-01,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza,Thursday,January
23,10,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
24,10,1,2015-01-01,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Thursday,January
25,11,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
26,11,1,2015-01-01,20.75,20.75,L,Chicken,The California Chicken Pizza,Thursday,January
27,11,1,2015-01-01,16.75,16.75,M,Chicken,The California Chicken Pizza,Thursday,January
28,11,1,2015-01-01,15.25,15.25,L,Classic,The Pepperoni Pizza,Thursday,January
29,12,1,2015-01-01,20.75,20.75,L,Chicken,The California Chicken Pizza,Thursday,January
30,12,1,2015-01-01,12.75,12.75,S,Chicken,The California Chicken Pizza,Thursday,January
31,12,1,2015-01-01,20.75,20.75,L,Chicken,The Chicken Pesto Pizza,Thursday,January
32,12,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
33,13,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
34,14,1,2015-01-01,12.0,12.0,S,Classic,The Greek Pizza,Thursday,January
35,15,1,2015-01-01,12.0,12.0,S,Classic,The Big Meat Pizza,Thursday,January
36,15,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
37,15,1,2015-01-01,20.75,20.75,L,Supreme,The Soppressata Pizza,Thursday,January
38,15,1,2015-01-01,12.0,12.0,S,Classic,The Greek Pizza,Thursday,January
39,16,1,2015-01-01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Thursday,January
40,16,1,2015-01-01,12.0,12.0,S,Classic,The Napolitana Pizza,Thursday,January
41,16,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
42,17,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
43,17,1,2015-01-01,16.25,16.25,M,Supreme,The Calabrese Pizza,Thursday,January
44,17,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
45,17,1,2015-01-01,14.75,14.75,M,Veggie,The Four Cheese Pizza,Thursday,January
46,17,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
47,17,1,2015-01-01,12.75,12.75,S,Veggie,The Italian Vegetables Pizza,Thursday,January
48,17,2,2015-01-01,16.0,32.0,M,Veggie,The Mediterranean Pizza,Thursday,January
49,17,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
50,17,1,2015-01-01,12.5,12.5,S,Supreme,The Pepper Salami Pizza,Thursday,January
51,17,1,2015-01-01,20.25,20.25,L,Veggie,The Spinach and Feta Pizza,Thursday,January
52,18,1,2015-01-01,20.5,20.5,L,Classic,The Napolitana Pizza,Thursday,January
53,19,1,2015-01-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Thursday,January
54,19,1,2015-01-01,20.25,20.25,L,Supreme,The Sicilian Pizza,Thursday,January
55,20,1,2015-01-01,12.0,12.0,S,Classic,The Big Meat Pizza,Thursday,January
56,20,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
57,21,1,2015-01-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Thursday,January
58,22,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
59,22,1,2015-01-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Thursday,January
60,22,1,2015-01-01,20.75,20.75,L,Chicken,The Southwest Chicken Pizza,Thursday,January
61,23,1,2015-01-01,12.75,12.75,S,Chicken,The Southwest Chicken Pizza,Thursday,January
62,24,1,2015-01-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Thursday,January
63,24,1,2015-01-01,16.0,16.0,M,Classic,The Italian Capocollo Pizza,Thursday,January
64,24,1,2015-01-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Thursday,January
65,24,1,2015-01-01,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza,Thursday,January
66,25,1,2015-01-01,16.25,16.25,M,Supreme,The Sicilian Pizza,Thursday,January
67,25,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
68,26,1,2015-01-01,12.0,12.0,S,Classic,The Classic Deluxe Pizza,Thursday,January
69,26,1,2015-01-01,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza,Thursday,January
70,27,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
71,27,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
72,27,1,2015-01-01,20.25,20.25,L,Veggie,The Spinach and Feta Pizza,Thursday,January
73,28,1,2015-01-01,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza,Thursday,January
74,29,1,2015-01-01,12.0,12.0,S,Veggie,The Green Garden Pizza,Thursday,January
75,30,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
76,31,1,2015-01-01,16.0,16.0,M,Veggie,The Mexicana Pizza,Thursday,January
77,31,1,2015-01-01,9.75,9.75,S,Classic,The Pepperoni Pizza,Thursday,January
78,32,1,2015-01-01,12.0,12.0,S,Classic,The Big Meat Pizza,Thursday,January
79,32,1,2015-01-01,20.25,20.25,L,Veggie,The Green Garden Pizza,Thursday,January
80,32,1,2015-01-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Thursday,January
81,32,1,2015-01-01,16.5,16.5,M,Supreme,The Italian Supreme Pizza,Thursday,January
82,33,1,2015-01-01,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza,Thursday,January
83,33,1,2015-01-01,12.0,12.0,S,Veggie,The Green Garden Pizza,Thursday,January
84,34,1,2015-01-01,12.0,12.0,S,Classic,The Greek Pizza,Thursday,January
85,35,1,2015-01-01,16.0,16.0,M,Veggie,The Green Garden Pizza,Thursday,January
86,35,1,2015-01-01,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
87,35,1,2015-01-01,12.5,12.5,M,Classic,The Pepperoni Pizza,Thursday,January
88,35,1,2015-01-01,20.75,20.75,L,Chicken,The Thai Chicken Pizza,Thursday,January
89,36,1,2015-01-01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza,Thursday,January
90,36,1,2015-01-01,16.0,16.0,M,Classic,The Classic Deluxe Pizza,Thursday,January
91,37,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
92,37,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
93,38,1,2015-01-01,10.5,10.5,S,Classic,The Hawaiian Pizza,Thursday,January
94,38,1,2015-01-01,20.5,20.5,L,Classic,The Italian Capocollo Pizza,Thursday,January
95,39,1,2015-01-01,20.75,20.75,L,Supreme,The Italian Supreme Pizza,Thursday,January
96,40,1,2015-01-01,17.95,17.95,L,Veggie,The Four Cheese Pizza,Thursday,January
97,40,1,2015-01-01,12.75,12.75,S,Chicken,The Southwest Chicken Pizza,Thursday,January
98,41,1,2015-01-01,14.75,14.75,M,Veggie,The Four Cheese Pizza,Thursday,January
99,41,1,2015-01-01,12.0,12.0,S,Veggie,The Green Garden Pizza,Thursday,January
100,42,1,2015-01-01,12.0,12.0,S,Classic,The Big Meat Pizza,Thursday,January
101,42,1,2015-01-01,18.5,18.5,L,Veggie,The Five Cheese Pizza,Thursday,January
102,42,1,2015-01-01,20.25,20.25,L,Veggie,The Mexicana Pizza,Thursday,January
