,Order ID,Customer ID,Product ID,Date,Original Price,Discount%,Customer Age,City,State,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings
0,OD0001,C001,P0001,30/10/21,349,0.3,30,Mumbai,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Black,4
1,OD0002,C002,P0001,03/06/22,350,0.3,35,Mumbai,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Black,4
2,OD0003,C003,P0001,16/04/21,351,0.3,36,Mumbai,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Black,4
3,OD0004,C004,P0001,24/03/23,352,0.25,40,Pune,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Black,4
4,OD0005,C005,P0001,26/04/21,353,0.25,25,Pune,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Black,4
5,OD0006,C006,P0002,01/06/22,354,0.3,16,Pune,Maharashtra,Women,Topwear,T-Shirts,Roadster,40,Blue,5
6,OD0007,C007,P0003,28/02/23,355,0.3,23,Pune,Maharashtra,Women,Topwear,T-Shirts,Roadster,42,White,3
7,OD0008,C008,P0004,15/05/22,356,0.3,22,Pune,Maharashtra,Women,Topwear,T-Shirts,Roadster,44,Green,2
8,OD0009,C009,P0005,01/03/23,2222,0.4,17,Hyderabad,Telangana,Women,Topwear,T-Shirts,Puma,38,Olive,5
9,OD0010,C010,P0006,02/12/22,2342,0.4,19,Hyderabad,Telangana,Women,Topwear,T-Shirts,Puma,46,Pink,4
10,OD0011,C011,P0007,01/01/22,2241,0.4,18,Hyderabad,Telangana,Women,Topwear,T-Shirts,Puma,38,Orange,3
11,OD0012,C012,P0007,21/01/21,2253,0.4,20,Hyderabad,Telangana,Women,Topwear,T-Shirts,Puma,38,Orange,3
12,OD0013,C013,P0007,25/08/22,2245,0.4,22,Raipur,Chhatisgarh,Women,Topwear,T-Shirts,Puma,38,Orange,3
13,OD0014,C014,P0008,28/06/22,2231,0.4,25,Raipur,Chhatisgarh,Women,Topwear,T-Shirts,Puma,38,Beige,5
14,OD0015,C015,P0009,22/10/21,2452,0.45,27,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,38,Off white,4
15,OD0016,C016,P0010,06/12/22,2236,0.45,29,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,38,Purple,2
16,OD0017,C017,P0011,26/11/22,2245,0.45,23,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,38,Peach,5
17,OD0018,C018,P0012,28/08/21,2235,0.47,25,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,42,Sea Green,5
18,OD0019,C019,P0012,15/10/21,2214,0.47,24,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,42,Sea Green,5
19,OD0020,C020,P0012,09/01/22,2231,0.46,15,Ahmedabad,Gujrat,Women,Topwear,T-Shirts,Puma,42,Sea Green,5
20,OD0021,C021,P0013,13/05/22,2145,0.46,19,Vadodara,Gujrat,Women,Topwear,T-Shirts,Puma,42,Lavender,4
21,OD0022,C022,P0014,02/03/22,2356,0.46,19,Vadodara,Gujrat,Women,Topwear,T-Shirts,Puma,42,Black,4
22,OD0023,C023,P0015,03/11/22,2412,0.3,19,Vadodara,Gujrat,Women,Topwear,T-Shirts,Puma,42,Blue,4
23,OD0024,C024,P0016,06/06/21,2234,0.3,22,Vadodara,Gujrat,Women,Topwear,T-Shirts,Puma,36,White,3
24,OD0025,C025,P0017,20/05/21,2214,0.3,22,Vadodara,Gujrat,Women,Topwear,T-Shirts,Puma,36,Green,5
