,Player,Matches,Overs,Balls,Wkts,Avg,Runs,4-fers,5-fers,ER
0,Mohammed Shami (IND),6,41.5,251,23,9.13,210,1,3,5.06
1,A Zampa (AUS),9,79.0,474,22,18.9,416,3,-,5.27
2,D Madushanka (SL),9,78.2,470,21,25.0,525,1,1,6.71
3,G Coetzee (SA),7,54.3,327,18,19.38,349,1,-,6.43
4,Shaheen Shah Afridi (PAK),9,81.0,486,18,26.72,481,-,1,5.94
5,JJ Bumrah (IND),10,82.5,497,18,18.33,330,1,-,4.0
6,M Jansen (SA),8,64.4,388,17,24.41,415,-,-,6.44
7,MJ Santner (NZ),10,92.4,556,16,28.06,449,-,1,4.86
8,RA Jadeja (IND),10,83.3,501,16,22.18,355,-,1,4.26
9,Haris Rauf (PAK),9,79.0,474,16,33.31,533,-,-,6.75
10,BFW de Leede (NED),9,67.0,402,16,30.43,487,1,-,7.27
11,AU Rashid (ENG),9,79.4,478,15,27.53,413,-,-,5.2
12,Kuldeep Yadav (IND),10,85.1,511,15,24.53,368,-,-,4.32
13,TA Boult (NZ),10,91.0,546,14,36.0,504,-,-,5.54
14,KA Maharaj (SA),9,79.0,474,14,24.71,346,1,-,4.38
15,Mohammed Siraj (IND),10,75.3,453,13,32.61,424,-,-,5.63
16,JR Hazlewood (AUS),9,75.1,451,12,31.41,377,-,-,5.02
17,K Rabada (SA),8,66.5,401,12,26.91,323,-,-,4.86
18,PA van Meekeren (NED),9,74.2,446,12,37.25,447,1,-,6.02
19,LV van Beek (NED),8,70.5,425,12,39.66,476,1,-,6.75
20,DJ Willey (ENG),6,51.0,306,11,23.54,259,-,-,5.08
